visit_id,gateway_id,requested_on,visited_on,reason_reported,outcome,parts_replaced,technician_hours
WO-2025-00430,0A:7A:C5:BD:AF:86,2025-09-30,2025-10-02,Routinepruefung,Kein Fehler gefunden,,0.5
WO-2025-00423,0A:18:4A:2E:46:B7,2025-10-01,2025-10-05,Routinepruefung,Kein Fehler gefunden,,0.67
WO-2025-00431,0A:63:24:E3:E0:43,2025-10-01,2025-10-08,Zaehler nicht gelesen,Fehler behoben,SIM-Karte,3.02
WO-2025-00432,0E:89:F7:D5:B5:BD,2025-10-01,2025-10-09,Auffaellige Statistik,Kein Fehler gefunden,,1.57
WO-2025-00429,0A:18:2E:FD:3C:61,2025-10-02,2025-10-14,Auffaellige Statistik,Kein Fehler gefunden,,0.62
WO-2025-00428,0E:A0:44:7D:A9:1C,2025-10-02,2025-10-04,Zaehler nicht gelesen,Kein Fehler gefunden,,0.69
WO-2025-00425,02:30:EE:F7:24:35,2025-10-03,2025-10-07,Routinepruefung,Kein Fehler gefunden,,1.14
WO-2025-00426,06:F2:CD:BD:2C:41,2025-10-03,2025-10-10,Kunde meldet Ausfall,Kein Fehler gefunden,,1.15
WO-2025-00433,0A:1F:B1:C9:8A:92,2025-10-03,2025-10-12,Haeufige Neustarts,Fehler behoben,Antenne,1.75
WO-2025-00421,0A:4E:33:E2:69:2B,2025-10-03,2025-10-16,Kunde meldet Ausfall,Fehler behoben,,2.85
WO-2025-00434,0E:9A:30:D9:27:A5,2025-10-03,2025-10-10,Auffaellige Statistik,Kein Fehler gefunden,,1.42
WO-2025-00436,0A:68:A2:03:24:50,2025-10-06,2025-10-11,Keine Verbindung,Kein Fehler gefunden,,1.24
WO-2025-00442,0E:A5:2A:2A:75:81,2025-10-06,2025-10-20,Keine Verbindung,Kein Fehler gefunden,,1.51
WO-2025-00444,0A:46:73:79:3B:3E,2025-10-07,2025-10-16,Haeufige Neustarts,Kein Fehler gefunden,,1.54
WO-2025-00440,0E:1B:6F:4D:BA:34,2025-10-07,2025-10-23,Kunde meldet Ausfall,Kein Fehler gefunden,,1.62
WO-2025-00438,0E:8F:36:DA:B9:C2,2025-10-07,2025-10-10,Auffaellige Statistik,Kein Fehler gefunden,,1.42
WO-2025-00439,02:3A:DD:DE:CF:84,2025-10-08,2025-10-18,Keine Verbindung,Fehler behoben,Kabel,1.61
WO-2025-00445,0A:B6:B4:5C:77:5A,2025-10-08,2025-10-21,Zaehler nicht gelesen,Kein Fehler gefunden,,1.34
WO-2025-00435,0A:F9:84:6E:92:DD,2025-10-08,2025-10-13,Keine Verbindung,Fehler behoben,SIM-Karte,3.55
WO-2025-00447,0E:D4:05:2A:27:63,2025-10-08,2025-10-15,Zaehler nicht gelesen,Kein Fehler gefunden,,1.02
WO-2025-00443,02:47:8C:D9:0F:3A,2025-10-09,2025-10-18,Auffaellige Statistik,Kein Zugang,,0.56
WO-2025-00446,02:7D:07:FC:97:FC,2025-10-09,2025-10-11,Signal schwach,Kein Fehler gefunden,,1.67
WO-2025-00437,0E:97:61:D8:EB:58,2025-10-09,2025-10-17,Kunde meldet Ausfall,Kein Fehler gefunden,,1.16
WO-2025-00448,02:25:13:88:D3:A2,2025-10-10,2025-10-20,Auffaellige Statistik,Kein Fehler gefunden,,1.34
WO-2025-00441,02:F1:8E:EE:02:8A,2025-10-10,2025-10-25,Zaehler nicht gelesen,Fehler behoben,,2.59
WO-2025-00462,0A:39:83:03:30:84,2025-10-13,2025-10-28,Zaehler nicht gelesen,Kein Fehler gefunden,,1.2
WO-2025-00449,02:E1:23:10:18:6C,2025-10-15,2025-10-23,Haeufige Neustarts,Fehler behoben,SIM-Karte,2.67
WO-2025-00451,0A:EF:10:F3:A9:94,2025-10-15,2025-10-21,Zaehler nicht gelesen,Kein Zugang,,1.1
WO-2025-00461,0E:5D:FC:F6:5A:D4,2025-10-15,2025-10-21,Auffaellige Statistik,Kein Fehler gefunden,,1.34
WO-2025-00456,02:89:2F:51:E1:CB,2025-10-16,2025-10-31,Kunde meldet Ausfall,Fehler behoben,,2.04
WO-2025-00459,06:1A:43:22:74:5C,2025-10-16,2025-10-19,Keine Verbindung,Kein Fehler gefunden,,1.76
WO-2025-00450,06:65:C3:FE:6D:67,2025-10-16,2025-10-25,Routinepruefung,Kein Fehler gefunden,,1.38
WO-2025-00454,06:71:1B:E6:AD:2A,2025-10-16,2025-10-22,Auffaellige Statistik,Kein Fehler gefunden,,1.29
WO-2025-00455,06:F4:9B:D8:F5:72,2025-10-16,2025-10-23,Routinepruefung,Kein Fehler gefunden,,1.11
WO-2025-00463,0E:1C:62:2E:61:BC,2025-10-16,2025-10-27,Auffaellige Statistik,Kein Fehler gefunden,,0.54
WO-2025-00460,02:30:D2:61:A1:CD,2025-10-17,2025-10-31,Kunde meldet Ausfall,Fehler behoben,Antenne,1.71
WO-2025-00453,02:38:8A:18:85:4F,2025-10-17,2025-10-19,Auffaellige Statistik,Kein Fehler gefunden,,0.95
WO-2025-00458,06:4E:66:B5:36:7B,2025-10-17,2025-10-31,Routinepruefung,Kein Fehler gefunden,,1.55
WO-2025-00457,0E:0A:8D:6E:B6:B9,2025-10-17,2025-11-02,Auffaellige Statistik,Kein Fehler gefunden,,1.72
WO-2025-00452,0E:E7:8E:43:17:BB,2025-10-17,2025-10-28,Kunde meldet Ausfall,Fehler behoben,Netzteil,2.44
WO-2025-00476,02:59:99:1B:A0:36,2025-10-20,2025-10-24,Zaehler nicht gelesen,Kein Fehler gefunden,,1.06
WO-2025-00468,02:79:D2:AC:6A:CE,2025-10-20,2025-10-27,Kunde meldet Ausfall,Kein Fehler gefunden,,0.95
WO-2025-00465,0E:61:D3:4F:99:93,2025-10-20,2025-11-05,Haeufige Neustarts,Fehler behoben,Netzteil,1.69
WO-2025-00469,0E:E0:71:F7:B2:4A,2025-10-20,2025-10-24,Keine Verbindung,Kein Fehler gefunden,,1.85
WO-2025-00471,02:3A:66:3E:FD:87,2025-10-21,2025-10-30,Kunde meldet Ausfall,Kein Fehler gefunden,,1.08
WO-2025-00474,0E:AE:FE:AE:FB:09,2025-10-21,2025-11-05,Haeufige Neustarts,Kein Fehler gefunden,,0.96
WO-2025-00470,0E:D0:84:9F:D6:D8,2025-10-21,2025-11-01,Zaehler nicht gelesen,Fehler behoben,Antenne,1.87
WO-2025-00478,06:87:F3:6E:02:C6,2025-10-22,2025-10-29,Haeufige Neustarts,Kein Fehler gefunden,,1.63
WO-2025-00466,0A:68:2E:D9:C6:DD,2025-10-22,2025-11-06,Kunde meldet Ausfall,Fehler behoben,Kabel,2.76
WO-2025-00467,02:D4:9A:34:B2:FE,2025-10-23,2025-11-07,Haeufige Neustarts,Fehler behoben,,3.42
WO-2025-00477,0A:27:78:A3:1B:E3,2025-10-23,2025-11-05,Auffaellige Statistik,Kein Fehler gefunden,,1.87
WO-2025-00472,0A:68:DF:0B:3D:07,2025-10-23,2025-11-03,Keine Verbindung,Kein Zugang,,0.84
WO-2025-00475,02:8B:24:EA:DD:AD,2025-10-24,2025-11-03,Zaehler nicht gelesen,Fehler behoben,Gateway getauscht,1.55
WO-2025-00473,02:B7:42:64:6A:0E,2025-10-24,2025-11-03,Routinepruefung,Kein Fehler gefunden,,1.51
WO-2025-00464,06:34:F7:8D:B4:C5,2025-10-24,2025-10-28,Keine Verbindung,Kein Fehler gefunden,,0.88
WO-2025-00486,06:DA:F1:1B:D3:8F,2025-10-27,2025-11-04,Zaehler nicht gelesen,Fehler behoben,Antenne,1.77
WO-2025-00484,0A:66:3B:6B:4B:28,2025-10-27,2025-10-29,Keine Verbindung,Kein Fehler gefunden,,1.43
WO-2025-00479,0A:B5:F9:C2:1B:F8,2025-10-27,2025-10-31,Haeufige Neustarts,Kein Fehler gefunden,,0.68
WO-2025-00481,02:FB:DD:4A:2C:43,2025-10-28,2025-11-10,Keine Verbindung,Kein Fehler gefunden,,0.87
WO-2025-00490,0A:61:E3:16:51:58,2025-10-28,2025-11-05,Haeufige Neustarts,Kein Fehler gefunden,,0.98
WO-2025-00483,0A:FE:70:2B:B0:93,2025-10-28,2025-11-03,Auffaellige Statistik,Kein Fehler gefunden,,0.99
WO-2025-00487,06:C0:D5:E3:BC:DB,2025-10-29,2025-11-13,Routinepruefung,Kein Zugang,,1.06
WO-2025-00480,0A:23:47:4F:19:44,2025-10-29,2025-11-10,Auffaellige Statistik,Kein Fehler gefunden,,1.09
WO-2025-00485,0A:DD:02:AB:69:3D,2025-10-30,2025-11-15,Routinepruefung,Kein Fehler gefunden,,0.9
WO-2025-00488,0E:8C:F9:CA:52:6F,2025-10-30,2025-11-12,Haeufige Neustarts,Kein Fehler gefunden,,1.28
WO-2025-00489,02:14:58:26:10:3B,2025-10-31,2025-11-12,Haeufige Neustarts,Fehler behoben,,3.46
WO-2025-00482,0E:12:1B:6B:86:61,2025-10-31,2025-11-06,Kunde meldet Ausfall,Fehler behoben,,3.36
WO-2025-00494,02:45:70:73:9D:E0,2025-11-03,2025-11-18,Keine Verbindung,Fehler behoben,Gateway getauscht,3.01
WO-2025-00498,06:93:57:B9:F1:5F,2025-11-03,2025-11-09,Haeufige Neustarts,Kein Fehler gefunden,,0.56
WO-2025-00502,0A:5D:01:7E:40:1E,2025-11-03,2025-11-05,Zaehler nicht gelesen,Kein Fehler gefunden,,0.59
WO-2025-00505,06:9A:98:DE:EB:1D,2025-11-04,2025-11-08,Signal schwach,Kein Fehler gefunden,,1.22
WO-2025-00503,0A:42:B2:DB:63:70,2025-11-04,2025-11-06,Auffaellige Statistik,Kein Fehler gefunden,,1.43
WO-2025-00495,0A:7A:C5:BD:AF:86,2025-11-04,2025-11-12,Keine Verbindung,Fehler behoben,,2.27
WO-2025-00492,0A:A4:73:D2:FC:17,2025-11-04,2025-11-17,Keine Verbindung,Fehler behoben,SIM-Karte,3.25
WO-2025-00491,02:C0:F4:5F:31:E7,2025-11-05,2025-11-10,Zaehler nicht gelesen,Fehler behoben,SIM-Karte,1.94
WO-2025-00501,02:F5:CE:77:05:EC,2025-11-05,2025-11-10,Kunde meldet Ausfall,Fehler behoben,Gateway getauscht,2.15
WO-2025-00497,0E:89:F7:D5:B5:BD,2025-11-05,2025-11-14,Auffaellige Statistik,Kein Fehler gefunden,,1.79
WO-2025-00493,0E:A0:44:7D:A9:1C,2025-11-05,2025-11-17,Keine Verbindung,Fehler behoben,Gateway getauscht,3.22
WO-2025-00496,0A:4C:88:4F:24:0A,2025-11-06,2025-11-12,Keine Verbindung,Fehler behoben,Netzteil,3.55
WO-2025-00499,02:09:1D:F7:CC:B8,2025-11-07,2025-11-09,Signal schwach,Kein Fehler gefunden,,1.77
WO-2025-00500,06:13:2D:73:96:F8,2025-11-07,2025-11-24,Kunde meldet Ausfall,Fehler behoben,Kabel,1.63
WO-2025-00504,0E:B6:B3:1D:8A:FB,2025-11-07,2025-11-13,Zaehler nicht gelesen,Kein Fehler gefunden,,1.07
WO-2025-00515,02:2C:6F:32:6E:3B,2025-11-11,2025-11-18,Kunde meldet Ausfall,Kein Fehler gefunden,,0.56
WO-2025-00518,0A:BD:2E:51:3F:79,2025-11-11,2025-11-28,Signal schwach,Kein Fehler gefunden,,1.37
WO-2025-00519,0A:D2:C9:2E:97:56,2025-11-11,2025-11-19,Kunde meldet Ausfall,Fehler behoben,Kabel,3.48
WO-2025-00517,0A:FF:C2:63:C0:D9,2025-11-11,2025-11-26,Kunde meldet Ausfall,Fehler behoben,,3.29
WO-2025-00511,0E:F0:84:81:B3:33,2025-11-11,2025-11-18,Haeufige Neustarts,Kein Fehler gefunden,,0.54
WO-2025-00516,02:7D:07:FC:97:FC,2025-11-12,2025-11-17,Haeufige Neustarts,Fehler behoben,,3.17
WO-2025-00508,0A:96:EA:CD:80:70,2025-11-12,2025-11-20,Zaehler nicht gelesen,Fehler behoben,Netzteil,3.65
WO-2025-00510,02:8C:C0:AE:57:19,2025-11-13,2025-11-21,Haeufige Neustarts,Fehler behoben,,1.68
WO-2025-00507,0E:5C:D9:B1:9D:CB,2025-11-13,2025-11-24,Keine Verbindung,Fehler behoben,Gateway getauscht,1.38
WO-2025-00509,0E:BF:1B:27:CD:E1,2025-11-13,2025-11-26,Keine Verbindung,Fehler behoben,Kabel,3.76
WO-2025-00513,06:5C:00:3A:8D:0C,2025-11-14,2025-11-24,Routinepruefung,Kein Fehler gefunden,,1.85
WO-2025-00514,0A:4E:33:E2:69:2B,2025-11-14,2025-11-26,Signal schwach,Kein Fehler gefunden,,1.07
WO-2025-00506,0A:52:DD:E8:96:BF,2025-11-14,2025-11-19,Auffaellige Statistik,Kein Fehler gefunden,,1.45
WO-2025-00512,0A:F9:84:6E:92:DD,2025-11-14,2025-11-21,Haeufige Neustarts,Fehler behoben,Kabel,3.63
WO-2025-00524,02:F1:8E:EE:02:8A,2025-11-17,2025-11-23,Haeufige Neustarts,Kein Fehler gefunden,,1.31
WO-2025-00526,0A:A3:F1:8D:E5:50,2025-11-17,2025-11-28,Routinepruefung,Kein Fehler gefunden,,0.7
WO-2025-00528,06:23:8E:E3:BE:6C,2025-11-18,2025-11-26,Signal schwach,Kein Fehler gefunden,,0.75
WO-2025-00527,0A:B6:B4:5C:77:5A,2025-11-18,2025-12-01,Signal schwach,Kein Fehler gefunden,,1.59
WO-2025-00521,06:1A:43:22:74:5C,2025-11-19,2025-11-23,Signal schwach,Kein Fehler gefunden,,1.39
WO-2025-00523,06:C9:8D:F4:F0:FA,2025-11-19,2025-11-30,Haeufige Neustarts,Kein Fehler gefunden,,1.83
WO-2025-00522,06:FF:EC:2E:FA:5E,2025-11-19,2025-11-28,Keine Verbindung,Fehler behoben,Gateway getauscht,1.24
WO-2025-00520,0A:68:A2:03:24:50,2025-11-20,2025-12-03,Haeufige Neustarts,Fehler behoben,Gateway getauscht,1.72
WO-2025-00525,0E:6A:CE:6D:31:46,2025-11-21,2025-11-27,Signal schwach,Kein Zugang,,0.66
WO-2025-00533,06:D8:45:98:CC:B4,2025-11-24,2025-12-06,Zaehler nicht gelesen,Fehler behoben,,2.11
WO-2025-00536,0E:55:F2:8A:B5:69,2025-11-25,2025-11-27,Auffaellige Statistik,Kein Fehler gefunden,,1.28
WO-2025-00532,02:78:E0:6A:2F:67,2025-11-26,2025-12-09,Routinepruefung,Kein Fehler gefunden,,1.56
WO-2025-00531,06:2E:A1:13:79:8F,2025-11-26,2025-12-12,Keine Verbindung,Fehler behoben,Kabel,3.65
WO-2025-00529,0A:55:DA:26:6F:71,2025-11-26,2025-11-29,Routinepruefung,Kein Fehler gefunden,,1.77
WO-2025-00534,0A:C4:37:02:3B:18,2025-11-26,2025-12-11,Haeufige Neustarts,Fehler behoben,SIM-Karte,1.76
WO-2025-00530,0E:D4:05:2A:27:63,2025-11-26,2025-12-03,Keine Verbindung,Fehler behoben,Antenne,3.49
WO-2025-00539,0A:1F:B1:C9:8A:92,2025-11-27,2025-12-04,Haeufige Neustarts,Fehler behoben,,3.41
WO-2025-00540,02:7B:2D:C4:EA:84,2025-11-28,2025-12-13,Kunde meldet Ausfall,Fehler behoben,Kabel,1.59
WO-2025-00535,06:50:9A:84:E8:73,2025-11-28,2025-12-13,Haeufige Neustarts,Fehler behoben,Netzteil,1.51
WO-2025-00538,0A:78:FA:F4:7B:00,2025-11-28,2025-12-07,Haeufige Neustarts,Kein Fehler gefunden,,0.68
WO-2025-00537,0E:0C:3E:B7:91:5D,2025-11-28,2025-11-30,Auffaellige Statistik,Kein Fehler gefunden,,1.51
WO-2025-00543,02:57:E8:55:DB:CE,2025-12-01,2025-12-03,Haeufige Neustarts,Kein Fehler gefunden,,1.35
WO-2025-00548,02:09:7A:B5:8D:3C,2025-12-02,2025-12-09,Haeufige Neustarts,Kein Fehler gefunden,,1.88
WO-2025-00542,06:F2:CD:BD:2C:41,2025-12-02,2025-12-13,Haeufige Neustarts,Kein Fehler gefunden,,1.86
WO-2025-00546,0A:F8:DC:B9:8E:4B,2025-12-02,2025-12-08,Haeufige Neustarts,Fehler behoben,Netzteil,3.19
WO-2025-00544,02:B5:C5:AD:C7:92,2025-12-03,2025-12-08,Keine Verbindung,Fehler behoben,SIM-Karte,2.17
WO-2025-00550,06:4B:E1:9B:0A:9E,2025-12-03,2025-12-14,Signal schwach,Kein Fehler gefunden,,1.62
WO-2025-00547,0A:48:56:68:F5:C0,2025-12-03,2025-12-16,Zaehler nicht gelesen,Kein Fehler gefunden,,0.91
WO-2025-00541,0A:B5:F9:C2:1B:F8,2025-12-03,2025-12-13,Kunde meldet Ausfall,Fehler behoben,SIM-Karte,2.97
WO-2025-00545,02:A8:02:92:CB:97,2025-12-04,2025-12-13,Haeufige Neustarts,Fehler behoben,Kabel,3.65
WO-2025-00549,0E:61:D3:4F:99:93,2025-12-04,2025-12-18,Routinepruefung,Kein Fehler gefunden,,0.53
WO-2025-00554,02:D4:9A:34:B2:FE,2025-12-08,2025-12-25,Kunde meldet Ausfall,Fehler behoben,Netzteil,1.62
WO-2025-00558,06:9A:98:DE:EB:1D,2025-12-08,2025-12-13,Haeufige Neustarts,Kein Fehler gefunden,,0.78
WO-2025-00562,02:38:8A:18:85:4F,2025-12-09,2025-12-20,Keine Verbindung,Kein Fehler gefunden,,1.27
WO-2025-00563,0E:B6:B3:1D:8A:FB,2025-12-09,2025-12-26,Zaehler nicht gelesen,Kein Fehler gefunden,,0.9
WO-2025-00553,0A:62:EE:CE:EB:D1,2025-12-10,2025-12-17,Keine Verbindung,Fehler behoben,,1.55
WO-2025-00555,0A:D2:76:FC:5E:27,2025-12-10,2025-12-21,Haeufige Neustarts,Fehler behoben,,2.48
WO-2025-00556,0E:11:3B:01:A9:A2,2025-12-10,2025-12-25,Haeufige Neustarts,Fehler behoben,Gateway getauscht,1.21
WO-2025-00557,02:4E:D4:33:BF:7D,2025-12-11,2025-12-25,Zaehler nicht gelesen,Kein Fehler gefunden,,0.75
WO-2025-00561,0A:E2:1E:7A:17:E4,2025-12-11,2025-12-20,Signal schwach,Kein Fehler gefunden,,0.94
WO-2025-00560,0E:A0:44:7D:A9:1C,2025-12-11,2025-12-22,Kunde meldet Ausfall,Kein Fehler gefunden,,1.57
WO-2025-00559,0E:DC:71:77:CC:A9,2025-12-11,2025-12-18,Zaehler nicht gelesen,Fehler behoben,SIM-Karte,1.58
WO-2025-00551,02:57:E8:55:DB:CE,2025-12-12,2025-12-15,Zaehler nicht gelesen,Fehler behoben,Netzteil,1.7
WO-2025-00552,06:93:57:B9:F1:5F,2025-12-12,2025-12-19,Haeufige Neustarts,Fehler behoben,Kabel,2.68
WO-2025-00564,02:59:99:1B:A0:36,2025-12-15,2025-12-17,Auffaellige Statistik,Kein Fehler gefunden,,1.23
WO-2025-00569,02:8C:C0:AE:57:19,2025-12-15,2025-12-31,Keine Verbindung,Fehler behoben,,1.66
WO-2025-00577,0A:10:20:1A:FE:0A,2025-12-15,2025-12-26,Routinepruefung,Kein Fehler gefunden,,1.24
WO-2025-00574,02:32:70:32:0B:57,2025-12-16,2025-12-24,Auffaellige Statistik,Kein Fehler gefunden,,1.74
WO-2025-00570,0A:0B:47:66:4A:85,2025-12-16,2025-12-24,Keine Verbindung,Kein Fehler gefunden,,1.88
WO-2025-00575,0E:34:28:2F:4B:53,2025-12-16,2025-12-21,Routinepruefung,Kein Zugang,,1.57
WO-2025-00572,0E:D1:E9:DB:D5:93,2025-12-16,2025-12-30,Kunde meldet Ausfall,Kein Fehler gefunden,,0.73
WO-2025-00566,02:B7:42:64:6A:0E,2025-12-17,2026-01-01,Auffaellige Statistik,Kein Fehler gefunden,,1.81
WO-2025-00576,02:DC:03:A0:F1:E6,2025-12-18,2026-01-02,Signal schwach,Kein Fehler gefunden,,0.7
WO-2025-00567,06:65:C3:FE:6D:67,2025-12-18,2025-12-29,Kunde meldet Ausfall,Kein Fehler gefunden,,1.46
WO-2025-00565,0E:0A:8D:6E:B6:B9,2025-12-18,2025-12-24,Keine Verbindung,Fehler behoben,Netzteil,2.45
WO-2025-00573,02:F5:CE:77:05:EC,2025-12-19,2025-12-23,Auffaellige Statistik,Kein Fehler gefunden,,1.28
WO-2025-00571,06:85:53:B3:AA:23,2025-12-19,2026-01-05,Keine Verbindung,Fehler behoben,,1.91
WO-2025-00568,0A:A1:8F:33:0F:59,2025-12-19,2025-12-25,Keine Verbindung,Fehler behoben,Antenne,2.27
WO-2025-00580,0A:95:47:C1:1A:56,2025-12-22,2026-01-03,Kunde meldet Ausfall,Fehler behoben,Kabel,3.73
WO-2025-00591,0E:E7:8E:43:17:BB,2025-12-22,2026-01-04,Routinepruefung,Kein Zugang,,1.89
WO-2025-00587,02:17:82:0B:FF:B2,2025-12-23,2025-12-30,Signal schwach,Kein Fehler gefunden,,1.15
WO-2025-00592,02:32:57:D2:93:66,2025-12-23,2026-01-05,Auffaellige Statistik,Kein Fehler gefunden,,0.86
WO-2025-00586,02:42:3E:0E:6E:9F,2025-12-24,2025-12-27,Haeufige Neustarts,Kein Fehler gefunden,,1.31
WO-2025-00578,02:59:99:1B:A0:36,2025-12-24,2025-12-28,Signal schwach,Kein Fehler gefunden,,0.69
WO-2025-00583,0A:46:73:79:3B:3E,2025-12-24,2025-12-31,Signal schwach,Kein Fehler gefunden,,0.81
WO-2025-00590,0E:E3:17:BA:7C:52,2025-12-24,2026-01-07,Keine Verbindung,Kein Fehler gefunden,,1.9
WO-2025-00582,0E:E9:49:79:50:EE,2025-12-24,2025-12-28,Zaehler nicht gelesen,Kein Fehler gefunden,,1.56
WO-2025-00584,06:B1:62:DC:93:E3,2025-12-25,2025-12-28,Zaehler nicht gelesen,Kein Fehler gefunden,,1.39
WO-2025-00588,0A:7A:AF:DD:9E:11,2025-12-25,2026-01-01,Haeufige Neustarts,Fehler behoben,,3.48
WO-2025-00589,0E:46:21:88:40:8C,2025-12-25,2026-01-01,Kunde meldet Ausfall,Kein Fehler gefunden,,0.63
WO-2025-00581,02:09:1D:F7:CC:B8,2025-12-26,2026-01-10,Kunde meldet Ausfall,Fehler behoben,,3.4
WO-2025-00579,02:F1:8E:EE:02:8A,2025-12-26,2025-12-31,Keine Verbindung,Fehler behoben,Netzteil,1.58
WO-2025-00585,0A:A2:96:FF:24:7D,2025-12-26,2026-01-11,Zaehler nicht gelesen,Kein Fehler gefunden,,1.12
WO-2025-00594,02:D4:DF:EF:40:2A,2025-12-29,2026-01-03,Routinepruefung,Kein Fehler gefunden,,0.9
WO-2025-00596,0E:69:C6:4B:6E:57,2025-12-29,2026-01-03,Auffaellige Statistik,Kein Fehler gefunden,,0.84
WO-2025-00597,02:31:4F:9A:91:68,2025-12-30,2026-01-01,Keine Verbindung,Kein Zugang,,1.01
WO-2025-00593,02:59:99:1B:A0:36,2025-12-31,2026-01-14,Keine Verbindung,Fehler behoben,,2.88
WO-2026-00595,06:D7:F6:C7:3E:0C,2026-01-01,2026-01-07,Keine Verbindung,Fehler behoben,Netzteil,3.62
WO-2026-00600,0E:75:2F:1B:29:5C,2026-01-01,2026-01-05,Kunde meldet Ausfall,Fehler behoben,Netzteil,1.54
WO-2026-00601,0E:EC:B1:08:FF:91,2026-01-01,2026-01-18,Auffaellige Statistik,Kein Fehler gefunden,,0.62
WO-2026-00599,0A:FF:C2:63:C0:D9,2026-01-02,2026-01-05,Zaehler nicht gelesen,Kein Fehler gefunden,,1.74
WO-2026-00598,0E:55:F2:8A:B5:69,2026-01-02,2026-01-04,Zaehler nicht gelesen,Kein Fehler gefunden,,1.11
WO-2026-00610,02:7F:E9:CE:D4:89,2026-01-05,2026-01-10,Auffaellige Statistik,Kein Zugang,,1.48
WO-2026-00602,02:89:2F:51:E1:CB,2026-01-05,2026-01-07,Haeufige Neustarts,Kein Fehler gefunden,,1.81
WO-2026-00604,02:BA:D9:19:85:5D,2026-01-06,2026-01-16,Zaehler nicht gelesen,Fehler behoben,Gateway getauscht,2.51
WO-2026-00607,0A:7A:C5:BD:AF:86,2026-01-06,2026-01-11,Auffaellige Statistik,Kein Fehler gefunden,,0.51
WO-2026-00603,0A:F8:DC:B9:8E:4B,2026-01-06,2026-01-23,Auffaellige Statistik,Kein Zugang,,1.59
WO-2026-00612,02:E1:23:10:18:6C,2026-01-07,2026-01-20,Zaehler nicht gelesen,Fehler behoben,Netzteil,3.39
WO-2026-00609,0A:66:3B:6B:4B:28,2026-01-07,2026-01-24,Auffaellige Statistik,Kein Fehler gefunden,,1.06
WO-2026-00605,0A:96:EA:CD:80:70,2026-01-08,2026-01-21,Keine Verbindung,Kein Fehler gefunden,,1.87
WO-2026-00606,0E:7A:8A:54:14:C2,2026-01-08,2026-01-16,Zaehler nicht gelesen,Fehler behoben,Kabel,3.73
WO-2026-00611,0E:E0:9E:DA:64:9F,2026-01-08,2026-01-21,Zaehler nicht gelesen,Kein Fehler gefunden,,1.19
WO-2026-00608,0A:80:01:88:C2:0F,2026-01-09,2026-01-26,Kunde meldet Ausfall,Kein Fehler gefunden,,1.16
WO-2026-00619,02:CF:FA:3A:3F:35,2026-01-12,2026-01-28,Keine Verbindung,Kein Fehler gefunden,,0.65
WO-2026-00616,06:4C:94:C7:71:EC,2026-01-12,2026-01-25,Haeufige Neustarts,Fehler behoben,SIM-Karte,2.8
WO-2026-00614,02:8B:24:EA:DD:AD,2026-01-13,2026-01-22,Kunde meldet Ausfall,Fehler behoben,Netzteil,2.66
WO-2026-00617,0E:8C:F9:CA:52:6F,2026-01-13,2026-01-28,Kunde meldet Ausfall,Kein Fehler gefunden,,1.55
WO-2026-00618,06:EA:13:6A:29:96,2026-01-15,2026-01-28,Kunde meldet Ausfall,Kein Fehler gefunden,,1.89
WO-2026-00613,02:4D:D3:A9:AD:CA,2026-01-16,2026-01-24,Haeufige Neustarts,Fehler behoben,,2.7
WO-2026-00615,0E:41:CF:7F:74:D5,2026-01-16,2026-01-18,Signal schwach,Kein Fehler gefunden,,1.01
WO-2026-00624,06:FF:EC:2E:FA:5E,2026-01-19,2026-02-03,Keine Verbindung,Fehler behoben,Netzteil,1.76
WO-2026-00626,0A:9A:3B:FD:6C:9B,2026-01-19,2026-01-27,Keine Verbindung,Kein Fehler gefunden,,0.73
WO-2026-00627,0E:0E:29:96:F5:1A,2026-01-19,2026-02-03,Kunde meldet Ausfall,Kein Fehler gefunden,,1.12
WO-2026-00630,0E:6D:2C:BA:ED:41,2026-01-19,2026-01-28,Haeufige Neustarts,Kein Fehler gefunden,,1.15
WO-2026-00623,02:39:AD:51:B7:AF,2026-01-20,2026-01-28,Signal schwach,Kein Fehler gefunden,,0.72
WO-2026-00629,06:AA:A2:8A:5D:6B,2026-01-20,2026-01-25,Routinepruefung,Kein Fehler gefunden,,0.94
WO-2026-00625,02:6A:60:07:FA:48,2026-01-22,2026-01-30,Routinepruefung,Kein Fehler gefunden,,1.63
WO-2026-00620,0E:5C:D9:B1:9D:CB,2026-01-22,2026-01-29,Zaehler nicht gelesen,Fehler behoben,Antenne,2.14
WO-2026-00622,0E:89:2C:46:A4:42,2026-01-22,2026-02-04,Zaehler nicht gelesen,Kein Fehler gefunden,,1.76
WO-2026-00628,02:38:8A:18:85:4F,2026-01-23,2026-01-27,Auffaellige Statistik,Kein Fehler gefunden,,1.76
WO-2026-00621,06:9A:98:DE:EB:1D,2026-01-23,2026-01-27,Auffaellige Statistik,Kein Fehler gefunden,,1.19
WO-2026-00642,0A:56:8E:79:FE:F6,2026-01-26,2026-02-10,Zaehler nicht gelesen,Kein Fehler gefunden,,1.61
WO-2026-00633,0A:D2:76:FC:5E:27,2026-01-26,2026-02-08,Kunde meldet Ausfall,Kein Fehler gefunden,,0.9
WO-2026-00635,02:42:3E:0E:6E:9F,2026-01-27,2026-02-09,Zaehler nicht gelesen,Fehler behoben,Gateway getauscht,3.8
